Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA830720G0033",,"P00003",0,"BOA Basic Ordering Agreement","$0.00","Dec 1, 2021",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830720G0033",,"0",0,"BOA Basic Ordering Agreement","$0.00","Jan 15, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830720G0033",,"P00002",0,"BOA Basic Ordering Agreement","$0.00","Nov 18, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830720G0033",,"P00001",0,"BOA Basic Ordering Agreement","$0.00","Jun 26, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","P00002","0","DO Delivery Order","$814,326.35","Nov 23, 2021","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","P00005","0","DO Delivery Order","$1,586,353.44","Mar 18, 2022","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","0","0","DO Delivery Order","$583,060.99","Oct 26, 2021","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","P00001","0","DO Delivery Order","$11,000.00","Nov 5, 2021","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","P00003","0","DO Delivery Order","$173,237.93","Feb 10, 2022","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
"FA830722F0007","FA830720G0033","P00004","0","DO Delivery Order","$673,560.00","Feb 17, 2022","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GRAND RAPIDS","MI","495032293","NONE","NONE OF THE ABOVE","WC8KMJW4PNG5","WC8KMJW4PNG5","BRAINGU LLC","BRAINGU LLC","6H3P9",
